order_id;checkout_id;brand_id;retailer_id;order_amount;has_discount;fees_percentage;payment_cost_percentage;shipping_cost_euro;net_margin;is_profitable
2335;1052;481;2333;146;0;0.15;0.05;14.55;0.05;1
4918;1868;799;173;169.8;0;0.15;0.05;14.54;2.44;1
1883;895;413;2139;172.8;0;0.15;0.05;14.5378768;2.7421232;1
8592;3224;1025;1574;115.07;0;0.15;0.05;14.5232758;-3.0162758;0
11348;2255;315;3990;109.7;0;0.15;0.05;14.5209018;-3.5509018;0
6315;2317;344;2027;250.56;100;0.05;0.05;14.52;-114.52;0
11000;3786;424;5689;297.48;0;0.15;0.05;14.52;15.228;1
8865;3154;591;6096;195;0;0.15;0.05;14.51;4.99;1
5430;1972;331;3727;108;0;0.15;0.05;14.5;-3.7;0
10604;3581;507;6119;116.5;0;0.15;0.05;14.46;-2.81;0
3783;1624;347;3317;122.4;0;0.15;0.05;14.4504112;-2.2104112;0
8465;3042;595;498;147;0;0.15;0.05;14.45;0.25;1
9079;2588;595;4703;121;0;0.15;0.05;14.45;-2.35;0
9718;3137;595;5006;117;0;0.15;0.05;14.45;-2.75;0
10502;3648;595;6613;115;0;0.15;0.05;14.45;-2.95;0
11979;3912;595;6613;117;0;0.15;0.05;14.45;-2.75;0
10164;1695;1155;1441;126.81;0;0.15;0.05;14.45;-1.769;0
10195;3557;1155;2042;138;0;0.15;0.05;14.45;-0.65;0
10112;3374;1155;5615;110.4;0;0.15;0.05;14.45;-3.41;0
9815;3181;144;6119;134.04;100;0.05;0.05;14.4;-114.4;0
9717;2902;311;1275;147.3;0;0.15;0.05;14.38;0.35;1
2802;1270;294;3112;135.04;100;0.05;0.05;14.35;-114.35;0
7101;1791;659;1165;149.85;0;0.15;0.05;14.27;0.715;1
3707;2694;634;1500;248.62;0;0.15;0.05;14.26;10.602;1
5789;2222;856;4969;359.48;0;0.15;0.05;14.24;21.708;1
5176;1950;36;4605;128.18;0;0.15;0.05;14.2;-1.382;0
8251;2204;53;4418;187.37;0;0.15;0.05;14.2;4.537;1
11635;3252;111;1057;109.45;0;0.15;0.05;14.2;-3.255;0
11784;4053;950;7029;204.71;0;0.15;0.05;14.2;6.271;1
9059;558;53;1350;134.2;0;0.15;0.05;14.19;-0.77;0
8913;2683;984;5297;367.6;0;0.15;0.05;14.18;22.58;1
1570;765;14;556;113.4;0;0.15;0.05;14.17;-2.83;0
4406;1827;25;1093;180.71;0;0.15;0.05;14.17;3.901;1
